fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_formation_stability_5,home_recent_formations_count,home_api_possession_5,home_api_yellow_cards_5,home_api_red_cards_5,home_api_shots_on_goal_for_5,home_api_shots_on_goal_against_5,home_api_total_shots_for_5,home_api_total_shots_against_5,home_api_expected_goals_for_5,home_api_expected_goals_against_5,home_api_corners_for_5,home_api_corners_against_5,away_formation_stability_5,away_recent_formations_count,away_api_possession_5,away_api_yellow_cards_5,away_api_red_cards_5,away_api_shots_on_goal_for_5,away_api_shots_on_goal_against_5,away_api_total_shots_for_5,away_api_total_shots_against_5,away_api_expected_goals_for_5,away_api_expected_goals_against_5,away_api_corners_for_5,away_api_corners_against_5,api_shots_on_goal_diff_5,api_total_shots_diff_5,api_expected_goals_diff_5,api_corners_diff_5,api_possession_diff_5,formation_stability_diff_5,home_injury_impact_score,away_injury_impact_score,injury_impact_diff,home_likely_starter_injuries_count,away_likely_starter_injuries_count,likely_starter_injuries_diff,home_points_before,away_points_before,home_rank_before,away_rank_before,home_goal_diff_before,away_goal_diff_before,home_matches_played_before,away_matches_played_before,matchday_estimate,remaining_matches_estimate,home_title_pressure,away_title_pressure,home_europe_pressure,away_europe_pressure,home_relegation_pressure,away_relegation_pressure,home_midtable_flag,away_midtable_flag,home_total_motivation_score,away_total_motivation_score,motivation_diff,match_context_label
1387730,2025-09-13 15:00:00+00:00,61,2025,84,Nice,83,Nantes,1,0,FT,3-4-2-1,4-1-4-1,3-4-2-1 vs 4-1-4-1,3,0,3,1.0,1,57.0,2.6666666666666665,0.0,3.6666666666666665,6.0,12.0,11.333333333333334,1.12,1.5599999999999998,6.333333333333333,2.6666666666666665,0.6666666666666666,2,41.0,1.3333333333333333,,1.6666666666666667,4.0,6.0,15.666666666666666,0.3533333333333333,1.2966666666666666,3.6666666666666665,7.666666666666667,2.0,6.0,0.7666666666666666,2.6666666666666665,16.0,0.3333333333333333,1.5,0.0,1.5,0,0,0,3,3,12,13,-1,-1,3,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,mixed_stakes
1387725,2025-09-13 19:05:00+00:00,61,2025,108,Auxerre,91,Monaco,1,2,FT,5-4-1,4-4-2,5-4-1 vs 4-4-2,0,4,-4,0.3333333333333333,3,48.66666666666666,2.6666666666666665,1.0,5.0,4.0,11.0,11.333333333333334,1.2100000000000002,1.2633333333333334,5.666666666666667,4.0,0.6666666666666666,2,55.66666666666666,1.3333333333333333,0.0,2.6666666666666665,3.0,10.333333333333334,13.0,1.6499999999999997,1.7133333333333336,4.666666666666667,5.666666666666667,2.333333333333333,0.6666666666666661,-0.4399999999999995,1.0,-7.0,-0.3333333333333333,0.0,2.0,-2.0,0,0,0,3,6,13,5,-2,2,3,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,standard
1387727,2025-09-14 13:00:00+00:00,61,2025,79,Lille,96,Toulouse,2,1,FT,4-2-3-1,3-4-3,4-2-3-1 vs 3-4-3,5,0,5,1.0,1,54.333333333333336,1.6666666666666667,,6.0,2.6666666666666665,16.0,10.0,2.676666666666667,1.586666666666667,6.0,2.6666666666666665,0.6666666666666666,2,38.0,1.3333333333333333,,3.6666666666666665,4.0,10.0,14.0,1.37,1.46,4.0,8.333333333333334,2.333333333333333,6.0,1.306666666666667,2.0,16.333333333333336,0.3333333333333333,2.5,0.0,2.5,0,0,0,7,6,4,8,7,0,3,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,mixed_stakes
1387726,2025-09-14 15:15:00+00:00,61,2025,106,Stade Brestois 29,114,Paris FC,1,2,FT,4-3-3,4-1-4-1,4-3-3 vs 4-1-4-1,2,0,2,1.0,1,43.66666666666666,2.0,1.0,3.0,6.333333333333333,14.333333333333334,15.333333333333334,1.3533333333333333,2.296666666666667,4.0,6.666666666666667,0.6666666666666666,2,52.66666666666666,0.6666666666666666,0.0,6.666666666666667,3.6666666666666665,16.333333333333332,11.0,1.7400000000000002,1.88,7.666666666666667,4.666666666666667,-3.666666666666667,-1.9999999999999984,-0.3866666666666669,-3.666666666666667,-9.0,0.3333333333333333,1.0,0.0,1.0,0,0,0,1,3,17,14,-4,-3,3,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,standard
1387729,2025-09-14 15:15:00+00:00,61,2025,112,Metz,77,Angers,1,1,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,4,0,4,0.6666666666666666,2,44.66666666666666,1.6666666666666667,1.0,1.3333333333333333,7.0,9.0,15.333333333333334,0.9,2.2,4.0,7.0,0.3333333333333333,3,28.33333333333333,2.0,1.0,3.0,6.0,7.0,17.666666666666668,0.8133333333333334,1.41,1.3333333333333333,8.666666666666666,-1.6666666666666667,2.0,0.0866666666666666,2.666666666666667,16.333333333333332,0.3333333333333333,2.0,0.0,2.0,0,0,0,0,4,19,11,-5,0,3,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,mixed_stakes
1387731,2025-09-14 15:15:00+00:00,61,2025,85,Paris Saint Germain,116,Lens,2,0,FT,4-3-3,3-4-2-1,4-3-3 vs 3-4-2-1,3,0,3,1.0,1,77.0,0.5,,5.333333333333333,2.0,17.333333333333332,7.333333333333333,1.9666666666666668,0.8666666666666667,8.666666666666666,2.333333333333333,1.0,1,55.333333333333336,1.3333333333333333,0.0,6.0,3.6666666666666665,18.0,12.666666666666666,2.146666666666667,1.46,9.0,5.333333333333333,-0.666666666666667,-0.6666666666666679,-0.1800000000000001,-0.3333333333333339,21.666666666666664,0.0,1.5,0.0,1.5,0,0,0,9,6,2,6,5,2,3,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,standard
1387733,2025-09-14 15:15:00+00:00,61,2025,95,Strasbourg,111,Le Havre,1,0,FT,3-1-4-2,4-1-4-1,3-1-4-2 vs 4-1-4-1,6,0,6,0.6666666666666666,2,56.0,1.6666666666666667,1.0,4.0,2.0,12.0,7.666666666666667,1.34,0.8933333333333332,5.0,5.0,1.0,1,41.333333333333336,1.6666666666666667,,6.0,3.0,13.0,8.666666666666666,1.6833333333333331,1.153333333333333,3.6666666666666665,3.333333333333333,-2.0,-1.0,-0.3433333333333335,1.3333333333333337,14.666666666666664,-0.3333333333333333,3.0,0.0,3.0,0,0,0,6,3,6,13,1,-1,3,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,standard
1387732,2025-09-14 18:45:00+00:00,61,2025,94,Rennes,80,Lyon,3,1,FT,3-5-2,4-2-3-1,3-5-2 vs 4-2-3-1,0,4,-4,0.6666666666666666,2,46.66666666666666,1.3333333333333333,1.5,4.333333333333333,5.333333333333333,10.333333333333334,18.666666666666668,1.0033333333333332,1.9933333333333327,3.333333333333333,5.333333333333333,1.0,1,52.0,1.6666666666666667,0.0,5.666666666666667,3.0,14.0,11.333333333333334,2.4066666666666667,0.9033333333333332,7.0,6.333333333333333,-1.333333333333334,-3.666666666666666,-1.4033333333333335,-3.6666666666666665,-5.333333333333336,-0.3333333333333333,0.0,2.0,-2.0,0,0,0,4,9,12,3,-3,5,3,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,mixed_stakes
1387738,2025-09-19 18:45:00+00:00,61,2025,80,Lyon,77,Angers,1,0,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,5,1,4,1.0,1,52.0,1.75,0.5,5.5,3.5,12.5,14.25,2.2325,1.225,6.25,6.0,0.5,3,32.5,1.6666666666666667,1.0,3.25,5.75,7.75,15.5,1.1775,1.485,1.75,7.5,2.25,4.75,1.055,4.5,19.5,0.5,2.5,0.5,2.0,0,0,0,9,5,4,12,3,0,4,4,5,29,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,mixed_stakes
1387741,2025-09-20 15:00:00+00:00,61,2025,83,Nantes,94,Rennes,2,2,FT,4-1-4-1,3-5-2,4-1-4-1 vs 3-5-2,3,2,1,0.75,2,41.0,1.0,,2.0,5.0,8.0,16.5,0.4525,1.41,3.75,7.5,0.75,2,47.0,1.5,1.0,4.5,5.25,13.5,16.0,1.2999999999999998,1.9225,3.75,5.0,-2.5,-5.5,-0.8474999999999998,0.0,-6.0,0.0,1.5,1.0,0.5,0,0,0,3,7,14,6,-2,-1,4,4,5,29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,standard
