fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_formation_stability_5,home_recent_formations_count,home_api_possession_5,home_api_yellow_cards_5,home_api_red_cards_5,home_api_shots_on_goal_for_5,home_api_shots_on_goal_against_5,home_api_total_shots_for_5,home_api_total_shots_against_5,home_api_expected_goals_for_5,home_api_expected_goals_against_5,home_api_corners_for_5,home_api_corners_against_5,away_formation_stability_5,away_recent_formations_count,away_api_possession_5,away_api_yellow_cards_5,away_api_red_cards_5,away_api_shots_on_goal_for_5,away_api_shots_on_goal_against_5,away_api_total_shots_for_5,away_api_total_shots_against_5,away_api_expected_goals_for_5,away_api_expected_goals_against_5,away_api_corners_for_5,away_api_corners_against_5,api_shots_on_goal_diff_5,api_total_shots_diff_5,api_expected_goals_diff_5,api_corners_diff_5,api_possession_diff_5,formation_stability_diff_5,home_expected_goals,away_expected_goals,home_team_formation_matches_before,home_team_formation_win_rate_before,home_team_formation_draw_rate_before,home_team_formation_loss_rate_before,home_team_formation_xg_for_avg_before,home_team_formation_xg_against_avg_before,home_team_formation_goal_diff_avg_before,away_team_formation_matches_before,away_team_formation_win_rate_before,away_team_formation_draw_rate_before,away_team_formation_loss_rate_before,away_team_formation_xg_for_avg_before,away_team_formation_xg_against_avg_before,away_team_formation_goal_diff_avg_before,formation_matchup_matches_before,formation_matchup_home_win_rate_before,formation_matchup_draw_rate_before,formation_matchup_away_win_rate_before,formation_matchup_avg_total_goals_before,formation_matchup_avg_xg_total_before,home_formation_signal_strength,away_formation_signal_strength,matchup_signal_strength
1387716,2025-08-31 13:00:00+00:00,61,2025,77,Angers,94,Rennes,1,1,FT,4-2-3-1,3-5-2,4-2-3-1 vs 3-5-2,1,4,-3,0.5,2,24.0,2.0,1.0,1.0,5.5,5.5,19.0,0.605,1.385,1.5,9.5,0.5,2,38.5,1.0,1.5,3.0,4.5,8.0,23.0,0.775,2.375,1.5,7.5,-2.0,-2.5,-0.17,0.0,-14.5,0.0,1.23,1.46,0,,,,,,,1,0.0,0.0,1.0,0.08,3.04,-4.0,0,,,,,,weak,weak,weak
1387717,2025-08-31 15:15:00+00:00,61,2025,111,Le Havre,84,Nice,3,1,FT,4-1-4-1,3-4-2-1,4-1-4-1 vs 3-4-2-1,2,8,-6,1.0,1,41.5,2.0,,5.0,3.0,13.5,9.5,1.245,1.415,5.5,2.5,1.0,1,56.0,2.0,0.0,4.0,5.0,14.5,11.0,1.365,1.06,7.0,4.0,1.0,-1.0,-0.1200000000000001,-1.5,-14.5,0.0,2.56,0.63,2,0.0,0.0,1.0,1.2449999999999999,1.415,-1.5,2,0.5,0.0,0.5,1.365,1.06,0.5,1,0.0,0.0,1.0,3.0,2.96,weak,weak,weak
1387721,2025-08-31 15:15:00+00:00,61,2025,91,Monaco,95,Strasbourg,3,2,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,4,6,-2,0.5,2,62.0,1.0,,2.0,2.5,9.5,13.5,1.505,1.76,4.0,6.0,0.5,2,55.5,2.0,,4.0,1.0,12.0,5.5,1.2,0.37,5.0,4.5,-2.0,-2.5,0.3049999999999999,-1.0,6.5,0.0,1.94,1.62,1,1.0,0.0,0.0,1.76,0.6,2.0,1,1.0,0.0,0.0,1.78,0.44,1.0,0,,,,,,weak,weak,weak
1387723,2025-08-31 15:15:00+00:00,61,2025,114,Paris FC,112,Metz,3,2,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,1,5,-4,0.5,2,53.5,0.5,0.0,5.5,4.5,12.5,9.5,1.005,1.9,4.5,4.0,0.5,2,42.5,2.0,,1.0,6.0,6.5,11.0,0.43,1.695,3.0,3.5,4.5,6.0,0.5750000000000001,1.5,11.0,0.0,3.21,1.84,1,0.0,0.0,1.0,1.09,2.83,-3.0,1,0.0,0.0,1.0,0.56,2.77,-3.0,1,0.0,1.0,0.0,6.0,3.63,weak,weak,weak
1387720,2025-08-31 18:45:00+00:00,61,2025,80,Lyon,81,Marseille,1,0,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,6,6,0,1.0,1,49.0,1.5,,5.5,3.5,12.0,14.5,2.09,0.97,6.0,7.5,0.5,2,66.5,2.0,0.0,4.5,4.5,17.5,10.0,2.27,1.28,8.5,1.5,1.0,-5.5,-0.1800000000000001,-2.5,-17.5,0.5,3.04,0.77,2,1.0,0.0,0.0,2.09,0.97,2.0,1,1.0,0.0,0.0,2.83,1.09,3.0,1,1.0,0.0,0.0,3.0,3.33,weak,weak,weak
1387728,2025-09-12 18:45:00+00:00,61,2025,81,Marseille,97,Lorient,4,0,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,2,6,-4,0.6666666666666666,2,58.333333333333336,2.0,0.5,3.6666666666666665,5.0,13.333333333333334,12.666666666666666,1.7700000000000002,1.8666666666666665,7.0,4.0,0.6666666666666666,2,49.333333333333336,3.6666666666666665,0.0,4.0,5.0,14.0,10.333333333333334,1.97,1.67,3.333333333333333,4.666666666666667,-0.3333333333333335,-0.6666666666666661,-0.1999999999999997,3.6666666666666665,9.0,0.0,2.26,0.14,2,0.5,0.0,0.5,1.8,2.065,1.0,1,0.0,0.0,1.0,1.5,3.49,-6.0,1,1.0,0.0,0.0,5.0,3.56,weak,weak,weak
1387730,2025-09-13 15:00:00+00:00,61,2025,84,Nice,83,Nantes,1,0,FT,3-4-2-1,4-1-4-1,3-4-2-1 vs 4-1-4-1,3,0,3,1.0,1,57.0,2.6666666666666665,0.0,3.6666666666666665,6.0,12.0,11.333333333333334,1.12,1.5599999999999998,6.333333333333333,2.6666666666666665,0.6666666666666666,2,41.0,1.3333333333333333,,1.6666666666666667,4.0,6.0,15.666666666666666,0.3533333333333333,1.2966666666666666,3.6666666666666665,7.666666666666667,2.0,6.0,0.7666666666666666,2.6666666666666665,16.0,0.3333333333333333,1.75,0.75,3,0.3333333333333333,0.0,0.6666666666666666,1.1199999999999999,1.5599999999999998,-0.3333333333333333,2,0.0,0.0,1.0,0.29000000000000004,1.605,-1.0,1,1.0,0.0,0.0,1.0,2.22,weak,weak,weak
1387725,2025-09-13 19:05:00+00:00,61,2025,108,Auxerre,91,Monaco,1,2,FT,5-4-1,4-4-2,5-4-1 vs 4-4-2,0,4,-4,0.3333333333333333,3,48.66666666666666,2.6666666666666665,1.0,5.0,4.0,11.0,11.333333333333334,1.2100000000000002,1.2633333333333334,5.666666666666667,4.0,0.6666666666666666,2,55.66666666666666,1.3333333333333333,0.0,2.6666666666666665,3.0,10.333333333333334,13.0,1.6499999999999997,1.7133333333333336,4.666666666666667,5.666666666666667,2.333333333333333,0.6666666666666661,-0.4399999999999995,1.0,-7.0,-0.3333333333333333,0.67,1.42,1,1.0,0.0,0.0,1.44,1.37,1.0,0,,,,,,,0,,,,,,weak,weak,weak
1387727,2025-09-14 13:00:00+00:00,61,2025,79,Lille,96,Toulouse,2,1,FT,4-2-3-1,3-4-3,4-2-3-1 vs 3-4-3,5,0,5,1.0,1,54.333333333333336,1.6666666666666667,,6.0,2.6666666666666665,16.0,10.0,2.676666666666667,1.586666666666667,6.0,2.6666666666666665,0.6666666666666666,2,38.0,1.3333333333333333,,3.6666666666666665,4.0,10.0,14.0,1.37,1.46,4.0,8.333333333333334,2.333333333333333,6.0,1.306666666666667,2.0,16.333333333333336,0.3333333333333333,2.21,0.81,3,0.6666666666666666,0.3333333333333333,0.0,2.676666666666667,1.5866666666666667,2.3333333333333335,2,1.0,0.0,0.0,0.9450000000000001,0.88,1.5,0,,,,,,weak,weak,weak
1387726,2025-09-14 15:15:00+00:00,61,2025,106,Stade Brestois 29,114,Paris FC,1,2,FT,4-3-3,4-1-4-1,4-3-3 vs 4-1-4-1,2,0,2,1.0,1,43.66666666666666,2.0,1.0,3.0,6.333333333333333,14.333333333333334,15.333333333333334,1.3533333333333333,2.296666666666667,4.0,6.666666666666667,0.6666666666666666,2,52.66666666666666,0.6666666666666666,0.0,6.666666666666667,3.6666666666666665,16.333333333333332,11.0,1.7400000000000002,1.88,7.666666666666667,4.666666666666667,-3.666666666666667,-1.9999999999999984,-0.3866666666666669,-3.666666666666667,-9.0,0.3333333333333333,2.57,1.55,3,0.0,0.3333333333333333,0.6666666666666666,1.3533333333333333,2.296666666666667,-1.3333333333333333,0,,,,,,,0,,,,,,weak,weak,weak
