fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_shots_on_goal,away_shots_on_goal,home_total_shots,away_total_shots,home_ball_possession,away_ball_possession,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals
1213779,2024-09-15T15:00:00+00:00,61,2024,95,Strasbourg,77,Angers,1,1,FT,4-4-2,4-2-3-1,4-4-2 vs 4-2-3-1,5,2,3,5,2,10,12,51,49,6,9,11,14,4.0,1.0,,,2.26,0.92
1213778,2024-09-15T15:00:00+00:00,61,2024,96,Toulouse,111,Le Havre,2,0,FT,3-4-2-1,5-4-1,3-4-2-1 vs 5-4-1,2,1,1,7,3,15,5,54,46,6,5,10,11,1.0,1.0,,,1.32,0.21
1213776,2024-09-15T18:45:00+00:00,61,2024,116,Lens,80,Lyon,0,0,FT,3-4-1-2,3-5-2,3-4-1-2 vs 3-5-2,1,0,1,5,3,12,8,54,46,5,8,12,11,,,,,1.05,0.56
1213784,2024-09-20T18:45:00+00:00,61,2024,84,Nice,1063,Saint Etienne,8,0,FT,3-4-3,4-3-3,3-4-3 vs 4-3-3,3,4,-1,12,2,18,8,59,41,3,2,7,13,0.0,1.0,,,4.73,0.32
1213789,2024-09-21T15:00:00+00:00,61,2024,79,Lille,95,Strasbourg,3,3,FT,4-2-3-1,4-1-4-1,4-2-3-1 vs 4-1-4-1,6,5,1,7,9,15,12,64,36,9,5,16,12,2.0,2.0,,,2.75,3.23
1213790,2024-09-21T17:00:00+00:00,61,2024,94,Rennes,116,Lens,1,1,FT,3-4-2-1,3-4-1-2,3-4-2-1 vs 3-4-1-2,3,3,0,6,2,11,10,40,60,4,3,16,20,2.0,4.0,,,1.37,0.56
1213785,2024-09-21T19:00:00+00:00,61,2024,93,Reims,85,Paris Saint Germain,1,1,FT,4-3-3,4-3-3,4-3-3 vs 4-3-3,3,6,-3,1,4,8,11,22,78,3,5,11,6,2.0,1.0,,,0.31,1.59
1213791,2024-09-22T13:00:00+00:00,61,2024,91,Monaco,111,Le Havre,3,1,FT,4-4-2,3-5-1-1,4-4-2 vs 3-5-1-1,3,1,2,4,2,12,8,62,38,6,4,10,17,1.0,3.0,,,1.98,0.57
1213787,2024-09-22T15:00:00+00:00,61,2024,77,Angers,83,Nantes,1,1,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,4,4,0,1,3,4,9,50,50,3,6,13,16,1.0,4.0,,,0.85,0.62
1213788,2024-09-22T15:00:00+00:00,61,2024,82,Montpellier,108,Auxerre,3,2,FT,4-2-3-1,5-4-1,4-2-3-1 vs 5-4-1,7,3,4,5,6,14,11,54,46,11,5,13,20,3.0,4.0,,,2.04,1.27
